experiment,period_from,period_to,n_signals,signals,cosine_similarity,l2_distance,concentration_from,concentration_to,concentration_change,top_feature_from,top_feature_to,samples_from,samples_to
02b_vintage_sweep/baseline_h16_drop0.10,2021,2022,2,"l2,concentration",0.9696178272090766,0.1991652548313141,0.37595364451408386,0.5264272689819336,0.15047362446784973,VIX,VIX,250,249
02b_vintage_sweep/baseline_h16_drop0.10,2022,2023,2,"l2,concentration",0.985097728827762,0.14519263803958893,0.5264272689819336,0.41027310490608215,-0.11615416407585144,VIX,VIX,249,249
02b_vintage_sweep/baseline_h16_drop0.10,2023,2024,4,"cosine,l2,concentration,top_feature",0.8350341834041964,0.3526817262172699,0.41027310490608215,0.27161943912506104,-0.13865366578102112,VIX,Yield_Spread,249,250
02b_vintage_sweep/baseline_h16_drop0.10,2024,2025,2,"l2,top_feature",0.9798707688935646,0.10429368913173676,0.27161943912506104,0.2682291865348816,-0.0033902525901794434,Yield_Spread,VIX,250,190
02b_vintage_sweep/baseline_h20_drop0.30,2021,2022,3,"cosine,l2,concentration",0.9273330893836909,0.21869637072086334,0.2751384377479553,0.33968594670295715,0.06454750895500183,relative_time_idx,relative_time_idx,250,249
02b_vintage_sweep/baseline_h20_drop0.30,2022,2023,4,"cosine,l2,concentration,top_feature",0.8463799329390868,0.31172099709510803,0.33968594670295715,0.2724305987358093,-0.06725534796714783,relative_time_idx,Yield_Spread,249,249
02b_vintage_sweep/baseline_h20_drop0.30,2023,2024,2,"cosine,l2",0.9490981222887345,0.16974925994873047,0.2724305987358093,0.28906118869781494,0.016630589962005615,Yield_Spread,Yield_Spread,249,250
02b_vintage_sweep/baseline_h16_drop0.20,2021,2022,2,"l2,concentration",0.9964449290443135,0.07255298644304276,0.48668763041496277,0.5441876649856567,0.05750003457069397,VIX,VIX,250,249
02b_vintage_sweep/baseline_h16_drop0.20,2023,2024,2,"l2,concentration",0.9972268714554036,0.06999185681343079,0.5503634214401245,0.48551294207572937,-0.06485047936439514,VIX,VIX,249,250
02b_vintage_sweep/baseline_h12_drop0.20,2020,2021,2,"l2,concentration",0.9765868841337437,0.20122991502285004,0.6155372858047485,0.43114134669303894,-0.1843959391117096,VIX,VIX,94,250
02b_vintage_sweep/baseline_h12_drop0.20,2022,2023,3,"cosine,l2,concentration",0.9314591903184213,0.2331196665763855,0.39764493703842163,0.2982276678085327,-0.09941726922988892,VIX,VIX,249,249
02b_vintage_sweep/baseline_h12_drop0.20,2023,2024,2,"l2,top_feature",0.9508286072678301,0.17057634890079498,0.2982276678085327,0.2930701971054077,-0.005157470703125,VIX,Yield_Spread,249,250
02b_vintage_sweep/baseline_h12_drop0.20,2024,2025,2,"l2,top_feature",0.9675830444556828,0.139980748295784,0.2930701971054077,0.30673661828041077,0.013666421175003052,Yield_Spread,VIX,250,190
02b_vintage_sweep/baseline_h14_drop0.30,2020,2021,4,"cosine,l2,concentration,top_feature",0.566981606002508,0.6011266112327576,0.3533245325088501,0.47025066614151,0.11692613363265991,Treasury_10Y,VIX,94,250
02b_vintage_sweep/baseline_h14_drop0.30,2021,2022,2,"l2,concentration",0.983359097185922,0.1713787317276001,0.47025066614151,0.6273009777069092,0.15705031156539917,VIX,VIX,250,249
02b_vintage_sweep/baseline_h14_drop0.30,2023,2024,2,"l2,concentration",0.9959742434274079,0.08827374130487442,0.6034647226333618,0.5176082849502563,-0.08585643768310547,VIX,VIX,249,250
02b_vintage_sweep/baseline_h14_drop0.10,2020,2021,4,"cosine,l2,concentration,top_feature",0.8756764087628828,0.2939221262931824,0.2544233202934265,0.3674749732017517,0.1130516529083252,Treasury_10Y,VIX,94,250
02b_vintage_sweep/baseline_h18_drop0.20,2022,2023,2,"l2,concentration",0.9740416900801231,0.1445966362953186,0.3885089159011841,0.3312045931816101,-0.057304322719573975,VIX,VIX,249,249
02b_vintage_sweep/baseline_h14_drop0.25,2020,2021,3,"cosine,l2,concentration",0.9194877793849282,0.29504460096359253,0.32248327136039734,0.5113173723220825,0.18883410096168518,VIX,VIX,94,250
02b_vintage_sweep/baseline_h14_drop0.25,2024,2025,2,"l2,concentration",0.9961368251364177,0.07291291654109955,0.511211633682251,0.4558400809764862,-0.05537155270576477,VIX,VIX,250,190
02b_vintage_sweep/baseline_h18_drop0.30,2022,2023,2,"l2,concentration",0.9783883481539941,0.13917896151542664,0.4223146438598633,0.3594731390476227,-0.0628415048122406,VIX,VIX,249,249
02b_vintage_sweep/baseline_h18_drop0.10,2021,2022,3,"cosine,l2,concentration",0.9496676830321031,0.20248761773109436,0.4017103910446167,0.3160080909729004,-0.08570230007171631,VIX,VIX,250,249
02b_vintage_sweep/baseline_h14_drop0.20,2020,2021,3,"cosine,l2,concentration",0.9193895989872364,0.27313873171806335,0.30935758352279663,0.45547357201576233,0.1461159884929657,VIX,VIX,94,250
02b_vintage_sweep/baseline_h14_drop0.20,2022,2023,2,"l2,concentration",0.9969305216957605,0.0703188106417656,0.4538349509239197,0.5156858563423157,0.061850905418395996,VIX,VIX,249,249
02b_vintage_sweep/baseline_h20_drop0.15,2020,2021,2,"l2,concentration",0.9576291577657714,0.1733686625957489,0.341131329536438,0.26765352487564087,-0.07347780466079712,Inflation_YoY,Inflation_YoY,94,250
02b_vintage_sweep/baseline_h20_drop0.15,2021,2022,3,"cosine,l2,top_feature",0.8899941814005952,0.24481986463069916,0.26765352487564087,0.27660197019577026,0.008948445320129395,Inflation_YoY,relative_time_idx,250,249
02b_vintage_sweep/baseline_h20_drop0.15,2022,2023,3,"cosine,l2,top_feature",0.863785975703058,0.28270208835601807,0.27660197019577026,0.30555620789527893,0.028954237699508667,relative_time_idx,Inflation_YoY,249,249
02b_vintage_sweep/baseline_h20_drop0.15,2023,2024,2,"l2,top_feature",0.9873632861918976,0.09073318541049957,0.30555620789527893,0.32424670457839966,0.018690496683120728,Inflation_YoY,VIX,249,250
02b_vintage_sweep/baseline_h20_drop0.15,2024,2025,2,"l2,top_feature",0.9870606998190199,0.09174061566591263,0.32424670457839966,0.32602041959762573,0.0017737150192260742,VIX,Inflation_YoY,250,190
02b_vintage_sweep/baseline_h12_drop0.10,2020,2021,2,"l2,concentration",0.9608010630618605,0.22199593484401703,0.5185579061508179,0.3537856340408325,-0.16477227210998535,VIX,VIX,94,250
02b_vintage_sweep/baseline_h12_drop0.10,2022,2023,3,"cosine,l2,concentration",0.9432061300489585,0.2028501182794571,0.3617827594280243,0.2834276258945465,-0.07835513353347778,VIX,VIX,249,249
02b_vintage_sweep/baseline_h12_drop0.10,2023,2024,3,"cosine,l2,top_feature",0.8907792336059072,0.25262337923049927,0.2834276258945465,0.29914984107017517,0.015722215175628662,VIX,Yield_Spread,249,250
02b_vintage_sweep/baseline_h20_drop0.10,2020,2021,2,"l2,concentration",0.9574664216320625,0.16989392042160034,0.3285191059112549,0.25999969244003296,-0.06851941347122192,Inflation_YoY,Inflation_YoY,94,250
02b_vintage_sweep/baseline_h20_drop0.10,2021,2022,3,"cosine,l2,top_feature",0.8971139923012333,0.23482422530651093,0.25999969244003296,0.2742898464202881,0.014290153980255127,Inflation_YoY,relative_time_idx,250,249
02b_vintage_sweep/baseline_h20_drop0.10,2022,2023,3,"cosine,l2,top_feature",0.8449984978155288,0.2993538975715637,0.2742898464202881,0.30057385563850403,0.026284009218215942,relative_time_idx,VIX,249,249
02b_vintage_sweep/baseline_h20_drop0.10,2024,2025,2,"l2,top_feature",0.9705209886095628,0.136494979262352,0.31580662727355957,0.3161957263946533,0.00038909912109375,VIX,Inflation_YoY,250,190
02b_vintage_sweep/baseline_h14_drop0.15,2020,2021,4,"cosine,l2,concentration,top_feature",0.7558310156860168,0.4077931046485901,0.2814048230648041,0.3777482509613037,0.09634342789649963,Treasury_10Y,VIX,94,250
02b_vintage_sweep/baseline_h14_drop0.15,2022,2023,2,"l2,concentration",0.9896142427451684,0.09943561255931854,0.3762363791465759,0.42638030648231506,0.050143927335739136,VIX,VIX,249,249
02b_vintage_sweep/baseline_h12_drop0.15,2020,2021,2,"l2,concentration",0.9672707017163471,0.2011469453573227,0.5009738206863403,0.35290178656578064,-0.1480720341205597,VIX,VIX,94,250
02b_vintage_sweep/baseline_h12_drop0.15,2022,2023,3,"cosine,l2,concentration",0.892376761959199,0.2783631682395935,0.3779151141643524,0.2764839828014374,-0.10143113136291504,VIX,VIX,249,249
02b_vintage_sweep/baseline_h12_drop0.15,2023,2024,3,"cosine,l2,top_feature",0.9207070965600688,0.2176951766014099,0.2764839828014374,0.31003591418266296,0.033551931381225586,VIX,Yield_Spread,249,250
02b_vintage_sweep/baseline_h16_drop0.25,2023,2024,2,"l2,concentration",0.9974806611619415,0.06601716578006744,0.5585174560546875,0.49860289692878723,-0.05991455912590027,VIX,VIX,249,250
02b_vintage_sweep/baseline_h16_drop0.25,2024,2025,2,"l2,concentration",0.9971156004637298,0.06412804126739502,0.49860289692878723,0.44737952947616577,-0.05122336745262146,VIX,VIX,250,190
